Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,Home_Win
15,Steelers,Colts,Colts,355,3882,10.9,18,45,11,75,178,50.1,3,323,3421,10.6,13,41,9,86,153,47.4,6,1
18,Steelers,Ravens,Steelers,328,3881,11.8,27,52,9,80,180,54.9,6,323,3421,10.6,13,41,9,86,153,47.4,6,0
17,Steelers,Seahawks,Steelers,371,4167,11.2,23,56,6,73,189,50.9,0,323,3421,10.6,13,41,9,86,153,47.4,6,0
12,Steelers,Bengals,Steelers,420,4257,10.1,27,46,10,80,208,49.5,3,323,3421,10.6,13,41,9,86,153,47.4,6,0
4,Steelers,Texans,Texans,372,4578,12.3,27,69,10,75,215,57.8,3,323,3421,10.6,13,41,9,86,153,47.4,6,1
7,Steelers,Rams,Steelers,361,4300,11.9,26,64,8,80,206,57.1,4,323,3421,10.6,13,41,9,86,153,47.4,6,0
3,Steelers,Raiders,Steelers,348,3666,10.5,20,35,5,50,182,52.3,3,323,3421,10.6,13,41,9,86,153,47.4,6,0
14,Jaguars,Browns,Browns,355,4011,11.3,24,53,15,75,173,48.7,5,412,4377,10.6,22,51,10,65,199,48.3,8,1
1,Jaguars,Colts,Jaguars,355,3882,10.9,18,45,11,75,178,50.1,3,412,4377,10.6,22,51,10,65,199,48.3,8,0
7,Jaguars,Saints,Jaguars,406,4225,10.4,28,52,11,58,199,49.0,0,412,4377,10.6,22,51,10,65,199,48.3,8,0
8,Jaguars,Steelers,Jaguars,323,3421,10.6,13,41,9,86,153,47.4,6,412,4377,10.6,22,51,10,65,199,48.3,8,0
