Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,PRet T_home,20_home,40_home,Lng_home,FC_home,FUM_home,P Blk_home,Avg_away,Ret_away,Yds_away,PRet T_away,20_away,40_away,Lng_away,FC_away,FUM_away,P Blk_away,Home_Win
8,Browns,Seahawks,Seahawks,10.6,25,265,0,3,0,32,16,2,0,8.4,41,343,0,1,0,21,36,2,0,1
18,Browns,Bengals,Bengals,10.2,34,346,1,4,1,81,16,1,0,8.4,41,343,0,1,0,21,36,2,0,1
16,Browns,Texans,Browns,9.7,30,292,0,2,0,22,24,2,0,8.4,41,343,0,1,0,21,36,2,0,0
13,Browns,Rams,Rams,7.3,28,204,0,1,0,29,24,3,0,8.4,41,343,0,1,0,21,36,2,0,1
5,Chiefs,Vikings,Chiefs,7.8,37,289,0,3,0,25,14,1,0,9.3,41,380,0,7,1,50,17,5,0,0
8,Chiefs,Broncos,Broncos,16.3,20,326,0,5,2,52,15,1,0,9.3,41,380,0,7,1,50,17,5,0,1
18,Chiefs,Chargers,Chiefs,16.0,24,385,1,6,1,87,29,3,0,9.3,41,380,0,7,1,50,17,5,0,0
4,Chiefs,Jets,Chiefs,9.7,33,319,1,2,1,65,31,3,1,9.3,41,380,0,7,1,50,17,5,0,0
2,Chiefs,Jaguars,Chiefs,10.2,29,297,0,4,1,48,17,2,0,9.3,41,380,0,7,1,50,17,5,0,0
15,Chiefs,Patriots,Patriots,6.3,33,208,0,2,0,25,26,5,0,9.3,41,380,0,7,1,50,17,5,0,0
13,Chiefs,Packers,Packers,7.3,26,189,0,3,0,35,15,6,0,9.3,41,380,0,7,1,50,17,5,0,1
12,Chiefs,Raiders,Chiefs,10.0,25,249,0,1,0,32,18,2,0,9.3,41,380,0,7,1,50,17,5,0,0
15,Giants,Saints,Saints,12.2,32,392,1,2,1,76,24,0,0,8.9,35,311,1,1,1,94,16,7,0,1
11,Giants,Commanders,Giants,7.9,35,278,0,3,1,61,14,2,0,8.9,35,311,1,1,1,94,16,7,0,0
16,Giants,Eagles,Eagles,14.4,29,417,0,7,2,54,18,2,0,8.9,35,311,1,1,1,94,16,7,0,1
6,Giants,Bills,Bills,11.6,31,360,1,4,1,96,25,3,0,8.9,35,311,1,1,1,94,16,7,0,1
2,Giants,Cardinals,Giants,9.2,31,286,0,2,1,49,11,1,0,8.9,35,311,1,1,1,94,16,7,0,0
